"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"24/07/2014","-35.00","Chez Ghassen","","","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON",""
"24/07/2014","-5.00","Baguette pour faience","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"22/07/2014","-400.00","Main d'oeuvre plomberie: Khaled","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Plombier"
"22/07/2014","-500.00","Matériel plomberie","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"21/07/2014","400.00","ATM CARNOY","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"21/07/2014","400.00","ATM CARNOY","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"21/07/2014","400.00","ATM CARNOY","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"21/07/2014","-60.00","Ghar el Mel7: Gateaux + jus","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"21/07/2014","-15.00","chaine + balais","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"21/07/2014","-6.00","4 sacs de gravier","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"19/07/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"18/07/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"18/07/2014","-15.00","Transport sable","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"18/07/2014","-20.00","Evacuation déchets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"18/07/2014","-70.00","Ciment","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"18/07/2014","-40.00","sable","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"17/07/2014","500.00","CHQ 4319141 FAV DALLALI SYRINE","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"15/07/2014","-32.00","Forfait tunisiana business (3 mois)","","","> Dépenses> Quotidien> Communications> Portable","> Actifs> Porte-monnaie","NON",""
"14/07/2014","600.00","ATM EL MANAR CAMPUS","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","500.00","ATM EL MANAR CAMPUS","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","500.00","ATM EL MANAR CAMPUS","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","190.00","ATM EL MANAR CAMPUS","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","-6.00","Grillages","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"13/07/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"12/07/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"12/07/2014","-1500.00","Matériel plomberie","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"12/07/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"08/07/2014","-190.00","briques + transport","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"08/07/2014","-20.00","Transport des caissons pour volets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"07/07/2014","600.00","ATM EL MANAR CAMPUS","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"07/07/2014","500.00","ATM EL MANAR CAMPUS","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"07/07/2014","400.00","ATM EL MANAR CAMPUS","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/07/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
